country,logHIV
Afghanistan,-4.9494872
Egypt,-4.3726344
Bangladesh,-4.2957754
Slovakia,-4.0628033
Turkmenistan,-3.961647
Philippines,-3.650794
Czech Republic,-3.5299029
Mongolia,-3.5290461
Japan,-3.5083683
Sri Lanka,-3.1155992
Bhutan,-3.0859768
Brunei,-3.0741668
Macedonia,-3.0685673
"Korea, South",-3.0582638
Slovenia,-3.018543
Hungary,-2.7324488
New Zealand,-2.6984057
Cuba,-2.5888896
Finland,-2.5300405
China,-2.4399865
Algeria,-2.3060727
Pakistan,-2.2645161
Morocco,-2.2518227
Norway,-2.1659591
Laos,-2.1413057
Azerbaijan,-2.1383462
Germany,-2.090961
Poland,-2.0876315
Lebanon,-2.0310709
Tajikistan,-2.026274
Indonesia,-2.0076149
Kazakhstan,-1.9702729
Kyrgyzstan,-1.9478052
Tunisia,-1.9270276
Bolivia,-1.9105667
Comoros,-1.8725941
Australia,-1.8393099
Iran,-1.7920959
Armenia,-1.7793006
Lithuania,-1.7421631
Greece,-1.7251313
Sweden,-1.6377219
Serbia,-1.6083084
Singapore,-1.588492
Fiji,-1.5786178
Uzbekistan,-1.5670435
Netherlands,-1.5521611
Denmark,-1.5212587
United Kingdom,-1.481729
Georgia,-1.4443147
Ireland,-1.4245211
Nicaragua,-1.4046236
Malta,-1.3598785
Belgium,-1.257672
Austria,-1.2203076
Ecuador,-1.1682304
Mexico,-1.1611031
Costa Rica,-1.115664
Chile,-1.112267
Iceland,-1.1045048
Canada,-1.0415646
Belarus,-.96605116
Paraguay,-.87559944
Switzerland,-.84919244
Luxembourg,-.84147447
France,-.83352113
Vietnam,-.66875076
Malaysia,-.63449186
Nepal,-.62906468
Italy,-.62366605
Madagascar,-.6042037
Uruguay,-.57489663
Brazil,-.54993653
Mauritius,-.51007706
Peru,-.50167876
Portugal,-.48806876
Argentina,-.43193629
Spain,-.38378274
Colombia,-.3786304
Mauritania,-.27199605
United States,-.21056187
Venezuela,-.19653228
Latvia,-.16902013
Somalia,-.037686951
India,-.036569525
Senegal,-.028715573
Panama,.018668426
Guatemala,.023253018
El Salvador,.03096145
Moldova,.13949694
Russia,.19335757
Burma,.25317159
Dominican Republic,.26191986
Niger,.26313806
Estonia,.41762376
Thailand,.43815938
Sierra Leone,.4794935
Ukraine,.52031982
Honduras,.52581781
Barbados,.54849225
Sudan,.5491845
Cambodia,.57546854
Jamaica,.57930791
Guinea,.58412701
Suriname,.67282367
Papua New Guinea,.70834661
Benin,.73954391
Mali,.79721731
Burkina Faso,.81219524
Guyana,.90741098
Eritrea,.91050422
Belize,.92193162
"Gambia, The",.9378531
Ghana,.97531152
Equatorial Guinea,1.1478859
Congo (Kinshasa),1.1776057
Rwanda,1.2193666
Burundi,1.2871984
Togo,1.3232785
Chad,1.3615201
"Bahamas, The",1.3755643
Nigeria,1.439424
Guinea-Bissau,1.4411818
Trinidad and Tobago,1.4589436
Haiti,1.5070214
Angola,1.619808
Cameroon,1.7219385
Congo (Brazzaville),1.8063074
Djibouti,1.8696762
Kenya,1.9229071
Uganda,1.98464
Tanzania,1.9883978
Cote d'Ivoire,2.0740411
Gabon,2.1368997
Central African Republic,2.4321675
Malawi,2.6671925
Mozambique,2.8533645
Zambia,2.953125
Namibia,3.0189307
South Africa,3.0918014
Lesotho,3.14519
Zimbabwe,3.145556
Botswana,3.3229349
Swaziland,3.626147
